full_name,CUSTOMER_ID,CUSTOMER_EMAIL,CUSTOMER_CREATION_DATE,customer_category
"Mr/Ms JENNIFER WILSON",1,jen_w@gmail.com,1991-06-01,"Category A"
"Mr/Ms JACKSON DAVIS",2,dave_jack@gmail.com,2001-06-12,"Category A"
"Mr/Ms KOMAL CHOUDHARY",3,ch_komal@yahoo.co.IN,2002-06-26,"Category A"
"Mr/Ms WILFRED JEAN",4,w_jean@gmail.com,2006-01-12,"Category B"
"Mr/Ms ANITA GOSWAMI",6,agoswami@gmail.com,2006-03-13,"Category B"
"Mr/Ms ASHWATHI BHATT",7,ash_bhat@yahoo.co.IN,2007-04-15,"Category B"
"Mr/Ms NEETHA CASTELINA",8,neetha20@gmail.com,2011-08-16,"Category C"
"Mr/Ms DEVIKA SATISH",9,devika_sa@gmail.com,2011-09-01,"Category C"
"Mr/Ms BIDHAN C.ROY",10,bidhanroy@yahoo.co.in,2011-10-23,"Category C"
"Mr/Ms VIKAS JHA",11,vikas.jha@gmail.com,2011-11-15,"Category C"
"Mr/Ms ARUL KUMAR.T",12,arulkumar@gmail.com,2011-12-03,"Category C"
"Mr/Ms RAVI SRINIVASN",13,r_srinivasn@yahoo.co.in,2012-01-05,"Category C"
"Mr/Ms AVINASH DUTTA",14,avinash.dutta@yahoo.co.in,2012-01-18,"Category C"
"Mr/Ms JYOTI SINHA",15,jyotisinha@gmail.com,2012-01-31,"Category C"
"Mr/Ms VIJAY BOLLINENI",16,vbollineni@gmail.com,2012-02-06,"Category C"
"Mr/Ms PRASAD SHETTY",17,pshetty@yahoo.co.in,2012-02-26,"Category C"
"Mr/Ms SURESH BABU",18,sbabu@yahoo.co.in,2012-03-01,"Category C"
"Mr/Ms BHARTI SUBHASH",19,bhartis@gmail.com,2012-03-28,"Category C"
"Mr/Ms KESHAV JOG",20,kesjog@yahoo.co.in,2012-04-06,"Category C"
"Mr/Ms RAMYA RAVINDER",5,ramya_r23@gmail.com,2006-02-12,"Category B"
"Mr/Ms ALAN SILVESTRI",21,alan_silver@msn.com,2016-02-04,"Category C"
"Mr/Ms ANDREW STANTON",22,andrew_stanton@yahoo.com,2013-05-23,"Category C"
"Mr/Ms ANNA PINNOCK",23,anna_pinnock@yahoo.com,2013-01-18,"Category C"
"Mr/Ms BRIAN GRAZER",24,brian_grazer@gmail.com,2009-12-28,"Category B"
"Mr/Ms BRUNO DELBONNEL",25,bruno_delbonnel@msn.com,2012-08-27,"Category C"
"Mr/Ms STEPHEN E. RIVKIN",26,"stephen_e. rivkin@msn.com",2010-03-04,"Category B"
"Mr/Ms MALI FINN",27,mali_finn@yahoo.com,2006-01-14,"Category B"
"Mr/Ms SAYYED FARAJ",28,sayyed_faraj@gmail.com,2009-11-01,"Category B"
"Mr/Ms FRANCINE MAISLER",29,francine_maisler@gmail.com,2013-09-01,"Category C"
"Mr/Ms ANITA KOHLI",30,anita_kohli@yahoo.com,2010-10-24,"Category B"
"Mr/Ms THOMAS NEWMAN",31,thomas_nman@yahoo.com,2015-06-30,"Category C"
"Mr/Ms HANS ZIMMER",32,hans_zimmer@yahoo.com,2016-01-24,"Category C"
"Mr/Ms NISEEMA ZIMMER",33,niseemaz@yahoo.com,2014-12-29,"Category C"
"Mr/Ms HANS ZIMMER",34,hans_zimmer@gmail.com,2015-09-27,"Category C"
"Mr/Ms THOMAS NEWMAN",35,thomas_newman@gmail.com,2014-01-16,"Category C"
"Mr/Ms MICHELLE H. SHORES",36,howard_shores@yahoo.com,2010-06-24,"Category B"
"Mr/Ms JAMES NEWTON HOWARD",37,james_nhoward@yahoo.com,2012-07-06,"Category C"
"Mr/Ms JOHN LASSETER",38,john_lass@gmail.com,2016-09-02,"Category C"
"Mr/Ms LIZ MULLANE",39,liz_mullane@gmail.com,2006-03-29,"Category B"
"Mr/Ms PAUL HAGGIS",40,paul_haggis@gmail.com,2016-08-31,"Category C"
"Mr/Ms THARMAN SHANMUGARATNAM",41,tharshan@yahoo.co.sg,2009-11-20,"Category B"
"Mr/Ms REBECCA LIM",42,reblim@msn.co.sg,2009-07-31,"Category B"
"Mr/Ms RAJIV CHANDRASEKARAN",43,rajiv_chan@yahoo.co.in,2014-04-14,"Category C"
"Mr/Ms TANYA CHUA",44,tanyac@singers.sg,2014-04-14,"Category C"
"Mr/Ms JANVI RAJIV",45,janvi_jha@msn.co.sg,2015-04-14,"Category C"
"Mr/Ms TAN BEE SOO",46,tanbeesoo@yahoo.co.sg,2016-11-15,"Category C"
"Mr/Ms YUN ZHU",47,yunzho@gmail.com,2016-11-15,"Category C"
"Mr/Ms WAJDI BIN ABDUL MAJEED",48,wajdiabdul@gmail.com,2010-06-25,"Category B"
"Mr/Ms ANBARA BINTI MUBARAK",49,anmubarak@yahoo.co.my,2010-08-27,"Category B"
"Mr/Ms SRI BINTI  YAAKOB",50,sribinti@yahoo.co.my,2007-12-18,"Category B"
"Mr/Ms AHMAD BIN GH AZALI",51,ahmad_bingh@yahoo.co.my,2010-05-14,"Category B"
"Mr/Ms SUCHIRITHAA EKANAYAKE",52,suchiritha@msn.com,2016-11-15,"Category C"
